location_type,parent_station,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
0,,26248,26248,"Joondalup Dr After Rawlinna Pwy","",-31.7130866666667,115.788584444444
0,,26249,26249,"Balcatta Rd After Erindale Rd","",-31.8605772222222,115.812440555556
0,,26250,26250,"Balcatta Rd Before Natalie Wy","",-31.8616627777778,115.815748333333
0,,26251,26251,"Balcatta Rd Before Geddes St","",-31.8630294444444,115.820056666667
0,,26252,26252,"Balcatta Rd Before Foley St","",-31.8634544444444,115.823878888889
0,,26253,26253,"Balcatta Rd Opposite Foley St","",-31.8638094444444,115.824249444444
0,,26254,26254,"Balcatta Rd After Geddes St","",-31.8634233333333,115.820288333333
0,,26255,26255,"Balcatta Rd After Natalie Wy","",-31.8620105555556,115.815840555556
0,,26256,26256,"Balcatta Rd Before Cressall Rd","",-31.8610761111111,115.812883333333
0,,26257,26257,"Natalie Wy Before Delawney St","",-31.8653855555556,115.817395
0,,26259,26259,"Jones St After Eversley St","Jones St / Eversley St",-31.8688511111111,115.820872777778
0,,26260,26260,"Jones St Opposite Poincare St","",-31.8763627777778,115.820849444444
0,,26261,26261,"Jones St After Curbar St","",-31.8793422222222,115.818995
0,,26262,26262,"Jones St After Hargrave St","",-31.8813116666667,115.817125555556
0,,26263,26263,"Caraway Gte After Jones St","",-31.8835466666667,115.815720555556
0,,26264,26264,"Carpenteria Dr After Balsam Link","",-31.8849033333333,115.817916111111
0,,26265,26265,"Grindleford Dr After Coralvine Gra","",-31.8868422222222,115.819847777778
0,,26266,26266,"Grindleford Dr Before Karrinyup Rd","",-31.8891916666667,115.820107222222
0,,26267,26267,"Grindleford Dr After Karrinyup Rd","",-31.8891116666667,115.819922222222
0,,26268,26268,"Grindleford Dr Before Coralvine Gra","",-31.886765,115.819696666667
0,,26269,26269,"Carpenteria Dr Before Balsam Link","",-31.8848688888889,115.817825555556
0,,26270,26270,"Caraway Gte After Orixa Cr","",-31.8836566666667,115.816120555556
0,,26271,26271,"Jones St Before Hargrave St","",-31.8817077777778,115.816547777778
0,,26272,26272,"Jones St Before Curbar St","",-31.8790633333333,115.819065
0,,26273,26273,"Jones St Before Poincare St","",-31.8766844444444,115.820707777778
0,,26274,26274,"Jones St Before Eversley St","Jones St / Eversley St",-31.8685411111111,115.820753333333
0,,26275,26275,"Natalie Wy After Delawney St","",-31.8652288888889,115.817166111111
0,,26276,26276,"Cobb St After Nola Av","",-31.9071755555556,115.762069444444
0,,26277,26277,"Cobb St Before Nola Av","",-31.9071194444444,115.762294444444
0,,26278,26278,"Eric St After Broome St","",-31.989715,115.755136111111
0,,26279,26279,"Warton Rd Before Shreeve Rd","",-32.0857344444444,115.948112222222
0,,26280,26280,"Kalinda Dr Between Kalari Dr","",-31.9358916666667,115.769905555556
0,,26281,26281,"Eighth Av After Guildford Rd","",-31.930655,115.894251666667
0,,26282,26282,"Stoneville Rd After Great Eastern Highway","",-31.9008277777778,116.16813
0,,26283,26283,"Kintail Rd Before Canning Highway","Kintail Rd / Moreau Mews",-32.0110888888889,115.850631666667
0,,26284,26284,"Marmion Av After Santorini Prom","Marmion Av / Santorini Prom",-31.6299094444444,115.690040555556
0,,26285,26285,"Marmion Av Before Santorini Prom","Marmion Av / Santorini Prom",-31.6297566666667,115.689941111111
0,,26286,26286,"Santorini Prom Before Benenden Av","Santorini Prom / Benenden Av",-31.6274827777778,115.700785
0,,26287,26287,"Santorini Prom After Benenden Av","Santorini Prom / Benenden Av",-31.6275938888889,115.700691666667
0,,26288,26288,"Hasler Rd Before Teakle Rd","",-31.9112327777778,115.809266666667
0,,26289,26289,"Lyon Rd After Aristata Pde","",-32.1744372222222,115.861137222222
0,,26290,26290,"Lyon Rd Before Aristata Pde","",-32.1747227777778,115.861229444444
0,,26291,26291,"Lyon Rd After Radiata Prom","",-32.1714027777778,115.861086666667
0,,26292,26292,"Pinjarra Rd After Old Pinjarra Rd","",-32.5404494444444,115.763892222222
0,,26293,26293,"Excellence Dr After Inspiration Dr ","Excellence Dr / Inspiration Dr",-31.7988411111111,115.833927777778
0,,26294,26294,"Allnutt St After Park Rd","",-32.5270705555556,115.738916111111
0,,26295,26295,"Peel St After Randell St","",-32.5275255555556,115.729151111111
0,,26296,26296,"Peel St Before Sutton St","",-32.5270694444444,115.725268333333
0,,26297,26297,"Peel St After Rockford St","",-32.5269961111111,115.725376111111
0,,26298,26298,"Peel St Before Randell St","",-32.5274794444444,115.729211666667
0,,26299,26299,"Allnutt St After Park Rd","",-32.5269627777778,115.739146111111
0,,26300,26300,"Benenden Av After Alford Wy","",-31.6298405555556,115.704553888889
0,,26301,26301,"Benenden Av After Melvich Grn","",-31.6327677777778,115.70453
